%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1662323726277609612,0,1662323726271731138,t265_odom_frame,t265_pose_frame,-0.0001819889439502731,0.00012993240670766681,0.0005128285847604275,-0.017610693350434303,0.017241936177015305,-0.000360593170626089,0.9996961951255798
1662323726282440292,0,1662323726276730299,t265_odom_frame,t265_pose_frame,-0.00017448083963245153,0.00013173097977414727,0.000540406908839941,-0.017617618665099144,0.01722957380115986,-0.00034853615215979517,0.9996963143348694
1662323726287039798,0,1662323726281729221,t265_odom_frame,t265_pose_frame,-0.0002679313183762133,0.00011914187052752823,0.00047276291297748685,-0.017619449645280838,0.017199475318193436,-0.0003651316510513425,0.9996967911720276
1662323726292309397,0,1662323726286728382,t265_odom_frame,t265_pose_frame,-0.00024765016860328615,0.00011588748020585626,0.0004895954625681043,-0.017635662108659744,0.017206929624080658,-0.0003709853917825967,0.9996963739395142
1662323726297480149,0,1662323726291727066,t265_odom_frame,t265_pose_frame,-0.00023299091844819486,0.00011924745194846764,0.0005082589923404157,-0.01764199137687683,0.01725880242884159,-0.00039136011037044227,0.9996953010559082
1662323726302378337,0,1662323726296726942,t265_odom_frame,t265_pose_frame,-0.0002173848479287699,0.00012271307059563696,0.0005291613633744419,-0.017639148980379105,0.017283517867326736,-0.0003790107148233801,0.9996949434280396
1662323726307216283,0,1662323726301726341,t265_odom_frame,t265_pose_frame,-0.00019789874204434454,0.00012625630188267678,0.000552997924387455,-0.017642173916101456,0.017275137826800346,-0.0003906765778083354,0.9996950626373291
1662323726312365374,0,1662323726306725025,t265_odom_frame,t265_pose_frame,-0.00020156223035883158,0.00011996337707387283,0.0005792276933789253,-0.01762801967561245,0.017267674207687378,-0.0003978783206548542,0.9996954202651978
1662323726315460468,0,1662323726415113554,/t265_link,/d400_link,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1662323726317133889,0,1662323726311724424,t265_odom_frame,t265_pose_frame,-0.00019338089623488486,0.00011721179907908663,0.0006131092668510973,-0.017638832330703735,0.017268864437937737,-0.00038900921936146915,0.9996952414512634
1662323726322067525,0,1662323726316723108,t265_odom_frame,t265_pose_frame,-0.00023007774143479764,0.00011611383524723351,0.0004692720540333539,-0.017619643360376358,0.01725062169134617,-0.0003715482307597995,0.9996958374977112
1662323726327299028,0,1662323726321723223,t265_odom_frame,t265_pose_frame,-0.00023565292940475047,0.00012106908980058506,0.0005038420204073191,-0.01763019897043705,0.017230961471796036,-0.0003673305327538401,0.9996960163116455
1662323726332617826,0,1662323726326722145,t265_odom_frame,t265_pose_frame,-0.00023747759405523539,0.00011905985593330115,0.0005361301591619849,-0.01761808805167675,0.017199501395225525,-0.0003475027915555984,0.9996967911720276
1662323726337721750,0,1662323726331721306,t265_odom_frame,t265_pose_frame,-0.00023908891307655722,0.00011721665214281529,0.0005714810104109347,-0.01762031577527523,0.017194479703903198,-0.00035487208515405655,0.9996968507766724
1662323726342323201,0,1662323726336720228,t265_odom_frame,t265_pose_frame,-0.00021896605903748423,0.00011672348773572594,0.0005962628056295216,-0.01762116327881813,0.017202826216816902,-0.00034327327739447355,0.9996967315673828
1662323726347486168,0,1662323726341718912,t265_odom_frame,t265_pose_frame,-0.00020564459555316716,0.00011624978651525453,0.0006277013453654945,-0.017631635069847107,0.01721115969121456,-0.00033909667399711907,0.9996963143348694
1662323726352230843,0,1662323726346719265,t265_odom_frame,t265_pose_frame,-0.00018756695499178022,0.00011636870476650074,0.0006602517678402364,-0.01762028969824314,0.017230629920959473,-0.00034010762465186417,0.9996961951255798
1662323726357179142,0,1662323726351718187,t265_odom_frame,t265_pose_frame,-0.00020975465304218233,0.00014145072782412171,0.00045779062202200294,-0.01762334816157818,0.01721818745136261,-0.0003425493196118623,0.9996963739395142
1662323726362305184,0,1662323726356717110,t265_odom_frame,t265_pose_frame,-0.00019705558952409774,0.00014568795450031757,0.00047697799163870513,-0.01763346791267395,0.01723759062588215,-0.000333702249918133,0.999695897102356
1662323726367471493,0,1662323726361716270,t265_odom_frame,t265_pose_frame,-0.00018384434224572033,0.00015055356197990477,0.0004981326055712998,-0.017637543380260468,0.017239784821867943,-0.00032704867771826684,0.9996957778930664
1662323726372231499,0,1662323726366716146,t265_odom_frame,t265_pose_frame,-0.00017895278870128095,0.00015103716577868909,0.0005223555490374565,-0.017636185511946678,0.017223700881004333,-0.0003194229502696544,0.9996960759162903
1662323726377351811,0,1662323726371715069,t265_odom_frame,t265_pose_frame,-0.00017342038336209953,0.00015286350389942527,0.0005482287961058319,-0.017629379406571388,0.017208106815814972,-0.00032825898961164057,0.9996964931488037
1662323726382240724,0,1662323726376714468,t265_odom_frame,t265_pose_frame,-0.00017117925744969398,0.00015384852304123342,0.0005752775468863547,-0.017633693292737007,0.01719549112021923,-0.00032711675157770514,0.9996966123580933
1662323726387123672,0,1662323726381713152,t265_odom_frame,t265_pose_frame,-0.00045065878657624125,7.010288391029462e-05,0.0004240584676153958,-0.017600227147340775,0.017154522240161896,-0.00033099178108386695,0.9996978640556335
1662323726392262347,0,1662323726386712074,t265_odom_frame,t265_pose_frame,-0.0004618942621164024,6.479838339146227e-05,0.0004397802986204624,-0.01759832352399826,0.01714888960123062,-0.0003451877855695784,0.9996979832649231
1662323726397244831,0,1662323726391712189,t265_odom_frame,t265_pose_frame,-0.00047071275184862316,5.9199301176704466e-05,0.00045603711623698473,-0.017599765211343765,0.017149286344647408,-0.00035363470669835806,0.9996979832649231
1662323726402537726,0,1662323726396711111,t265_odom_frame,t265_pose_frame,-0.00047622606507502496,6.170802225824445e-05,0.0004744051839224994,-0.017610343173146248,0.017158206552267075,-0.0003515978460200131,0.9996976256370544
1662323726407797024,0,1662323726401710033,t265_odom_frame,t265_pose_frame,-0.0004811653052456677,6.250716978684068e-05,0.0004926608526147902,-0.01762291230261326,0.017178475856781006,-0.0003501951869111508,0.9996970891952515
